mal.type,OTU,N,mean_val,SD_val
Stunting,Bacteroidetes vadinHA17 Family,53,0.00144,0.01047
Stunting,Bdellovibrio,53,0,0
Stunting,Beijerinckiaceae Family,53,1.7e-4,0.00124
Stunting,Bergeyella,53,0.04531,0.09357
Stunting,Bifidobacterium,53,0.01903,0.07637
Stunting,Blastococcus,53,5.5e-4,0.00282
Stunting,Blastomonas,53,0.00163,0.00967
Stunting,Blautia,53,0,0
Stunting,Bordetella,53,0,0
Stunting,Bosea,53,0.00423,0.0308
Stunting,Brachybacterium,53,1.1e-4,7.6e-4
Stunting,Bradyrhizobium,53,0.00625,0.02684
Stunting,Brevibacterium,53,0.00169,0.01111
Stunting,Brevundimonas,53,0.00257,0.01661
Stunting,Brochothrix,53,0,0
Stunting,Brucella,53,0,0
Stunting,Burkholderia-Caballeronia-Paraburkholderia,53,0.45606,1.35162
Stunting,Burkholderiaceae Family,53,0.0141,0.07525
Stunting,Butyricicoccaceae Family,53,0,0
Stunting,Butyricicoccus,53,0,0
Stunting,Butyrivibrio,53,0.00481,0.03118
Stunting,Caenimonas,53,0,0
Stunting,Campylobacter,53,0.05515,0.23157
Stunting,Capnocytophaga,53,0.05462,0.16863
Stunting,Cardiobacterium,53,0.03296,0.23479
Stunting,Catonella,53,0.00278,0.0092
Stunting,Cellulomonas,53,1.5e-4,0.00109
Stunting,Centipeda,53,5.3e-4,0.00295
Stunting,Christensenellaceae Family,53,9e-5,6.7e-4
Stunting,Chryseobacterium,53,0.00107,0.00609
Stunting,Citricoccus,53,0.00369,0.02009
Stunting,Clostridium sensu stricto 1,53,5.7e-4,0.00347
Stunting,Cnuella,53,0.00267,0.01706
Stunting,Collinsella,53,0.01496,0.06728
Stunting,Comamonadaceae Family,53,5.5e-4,0.00403
Stunting,Comamonas,53,0.00148,0.00752
Stunting,Conchiformibius,53,0.00439,0.0159
Stunting,Coprococcus,53,0,0
Stunting,Corynebacterium,53,0.55027,1.04778
Stunting,Cutibacterium,53,0,0
Stunting,Dactylosporangium,53,0.00337,0.02456
Stunting,Defluviitaleaceae UCG-011,53,3.2e-4,0.00236
Stunting,Deinococcus,53,0,0
Stunting,Dermacoccaceae Family,53,6.3e-4,0.00462
Stunting,Dialister,53,0,0
Stunting,Dolosigranulum,53,0.42459,0.78398
Stunting,Dorea,53,0,0
Stunting,Eikenella,53,0.03409,0.099030000000000007
Stunting,Elizabethkingia,53,0,0
Stunting,Enhydrobacter,53,0.01825,0.09512
Stunting,Enterobacteriaceae Family,53,0,0
Stunting,Enterococcus,53,0.04988,0.20208
Stunting,Escherichia-Shigella,53,0.00825,0.0204
Stunting,F0058,53,0.00127,0.00616
Stunting,F0332,53,0.00727,0.02593
Stunting,Faecalibacterium,53,0,0
Stunting,Faucicola,53,0.00113,0.00825
Stunting,Ferrovibrio,53,0.00148,0.00761
Stunting,Ferruginibacter,53,0,0
Stunting,Fibrella,53,9.5e-4,0.0069
Stunting,Filifactor,53,0.00865,0.03865
Stunting,Finegoldia,53,1.2e-4,8.4e-4
Stunting,Flavobacterium,53,9e-5,6.6e-4
Stunting,Fusicatenibacter,53,0,0
Stunting,Fusobacterium,53,0.40563,0.63077
Stunting,Gaiella,53,0.00106,0.00557
Stunting,Gemella,53,6.89609,5.45978
Stunting,Geminicoccus,53,8.5e-4,0.00617
Stunting,Geobacillus,53,0.0062,0.04031
Stunting,Glutamicibacter,53,0.00216,0.0157
Stunting,Gordonia,53,2.2e-4,0.00161
Stunting,Granulicatella,53,5.62816,4.40324
Stunting,HT002,53,0,0
Stunting,Haematobacter,53,0.00216,0.0157
Stunting,Haemophilus,53,1.05053,2.26111
Stunting,Halomonas,53,0,0
Stunting,Helcococcus,53,0.00816,0.04168
Stunting,Helicobacter,53,0.17597,0.58865
Stunting,Herminiimonas,53,1.9e-4,0.00138
Stunting,Holdemanella,53,0,0
Stunting,Hymenobacter,53,2.9e-4,0.00208
Stunting,Hyphomicrobium,53,0.00321,0.02023
Stunting,Iamia,53,2.8e-4,0.00203
Stunting,Intestinibacter,53,1.7e-4,0.00122
Stunting,Intestinimonas,53,0.00172,0.01254
Stunting,JG30-KF-CM45 Family,53,6.1e-4,0.00443
Stunting,Jatrophihabitans,53,0.00452,0.03291
Stunting,Johnsonella,53,0.31947,1.04173
Stunting,Kingella,53,0.00901,0.03456
Stunting,Klebsiella,53,0,0
Stunting,Knoellia,53,8.3e-4,0.00604
Stunting,Kocuria,53,0,0
Stunting,Kushneria,53,1e-4,7e-4
Stunting,Lachnoanaerobaculum,53,0.58588,0.6559
Stunting,Lachnoclostridium,53,0,0
Stunting,Lachnospiraceae Family,53,0.44653,0.99247
Stunting,Lachnospiraceae NK4A136 group,53,0.002,0.01458
Stunting,Lacticaseibacillus,53,0,0
Stunting,Lactobacillaceae Family,53,0.01656,0.0773
Stunting,Lactobacillus,53,0.10212,0.64125
Stunting,Lactococcus,53,0.93088,3.63874
Stunting,Lautropia,53,0.10222,0.28316
Stunting,Lawsonella,53,0.00469,0.02121
Stunting,Legionella,53,0.00127,0.00928
Stunting,Leptotrichia,53,0.80967,1.21525
Stunting,Leuconostoc,53,0.96581,6.67851
Stunting,Ligilactobacillus,53,2.7e-4,0.00198
Stunting,Limosilactobacillus,53,0.04667,0.219
Stunting,Lysobacter,53,6.5e-4,0.00391
Stunting,Macrococcus,53,0,0
Stunting,Magnetospirillaceae Family,53,0.00137,0.00999
Stunting,Massilia,53,0.00362,0.01491
Stunting,Megasphaera,53,0.00784,0.01931
Stunting,Methylobacterium-Methylorubrum,53,0.67025,3.26453
Stunting,Micrococcus,53,0.00247,0.00879
Stunting,Microvirga,53,7.9e-4,0.00404
Stunting,Mogibacterium,53,0.05715,0.08564
Stunting,Moraxella,53,0.11608,0.23828
Stunting,Mucilaginibacter,53,0,0
Stunting,Muribaculaceae Family,53,1.3e-4,9.6e-4
Stunting,Myceligenerans,53,0,0
Stunting,Mycobacterium,53,0.00128,0.0067
Stunting,Mycoplasma,53,2e-4,0.00143
Stunting,Nakamurella,53,2.4e-4,0.00173
Stunting,Necropsobacter,53,3.8e-4,0.00275
Stunting,Negativibacillus,53,0,0
Stunting,Neisseria,53,1.13068,2.39724
Stunting,Neisseriaceae Family,53,2.8e-4,0.00206
Stunting,Neomicrococcus,53,0.00791,0.05757
Stunting,Neorhizobium,53,0,0
Stunting,Nocardioidaceae Family,53,1.5e-4,0.00109
Stunting,Nocardioides,53,0.1274,0.52892
Stunting,Novosphingobium,53,0.00152,0.00752
Stunting,Oceanivirga,53,0.00342,0.02491
Stunting,Odoribacter,53,0.01388,0.10103
Stunting,Oligella,53,5.2e-4,0.00381
Stunting,Oribacterium,53,0.16477,0.23809
Stunting,Ornithinicoccus,53,0.00127,0.00926
Stunting,Ornithinimicrobium,53,0.0026,0.01892
Stunting,Ornithobacterium,53,8.8e-4,0.00639
Stunting,Oscillibacter,53,0.00314,0.02285
Stunting,Oscillospiraceae Family,53,0,0
Stunting,Oxalicibacterium,53,7.5e-4,0.00543
Stunting,Oxalobacteraceae Family,53,2.6e-4,0.00192
Stunting,Paenibacillus,53,6.6e-4,0.00349
Stunting,Pajaroellobacter,53,5.2e-4,0.00274
Stunting,Parabacteroides,53,8.3e-4,0.00604
Stunting,Paracoccus,53,5.6e-4,0.00315
Stunting,Parasutterella,53,1.1e-4,8e-4
Stunting,Parvimonas,53,0.05444,0.09683
Stunting,Pasteurellaceae Family,53,0,0
Stunting,Paucibacter,53,0.00545,0.02781
Stunting,Pedobacter,53,7.8e-4,0.00569
Stunting,Pedomicrobium,53,0.00232,0.01295
Stunting,Pelagibacterium,53,1e-4,7.3e-4
Stunting,Pelomonas,53,0.00492,0.03582
Stunting,Peptoanaerobacter,53,0.00134,0.00976
Stunting,Peptococcus,53,0.0258,0.08012
Stunting,Peptoniphilus,53,0,0
Stunting,Peptostreptococcus,53,0.53363,0.94978
Stunting,Phascolarctobacterium,53,0,0
Stunting,Phenylobacterium,53,3.4e-4,0.0025
Stunting,Phreatobacter,53,0,0
Stunting,Planococcus,53,0.04976,0.36227
Stunting,Polynucleobacter,53,0,0
Stunting,Porphyrobacter,53,4.4e-4,0.0032
Stunting,Porphyromonas,53,0.19922,0.71787
Stunting,Prevotella,53,0.15176,0.37328
Stunting,Prevotella_7,53,0.34625,0.92354
Stunting,Prevotella_9,53,0.00102,0.0074400000000000004
Stunting,Prevotellaceae Family,53,0.00305,0.02219
Stunting,Prevotellaceae NK3B31 group,53,0.01328,0.09666
Stunting,Promicromonospora,53,0,0
Stunting,Pseudarthrobacter,53,0.00172,0.01254
Stunting,Pseudoclavibacter,53,2.8e-4,0.00203
Stunting,Pseudomonas,53,3.43193,9.60455
Stunting,Pseudoxanthomonas,53,6e-4,0.00437
Stunting,Psychrobacter,53,0.00235,0.01714
Stunting,Ralstonia,53,0.54095,1.41104
Stunting,Reyranella,53,2.5e-4,0.0018
Stunting,Rhizobiaceae Family,53,0.00476,0.03469
Stunting,Rhodobacteraceae Family,53,1.1e-4,7.6e-4
Stunting,Rhodoferax,53,0.00355,0.02585
Stunting,Roseburia,53,9e-5,6.8e-4
Stunting,Rothia,53,0.99562,1.25618
Stunting,Rubellimicrobium,53,5e-4,0.00362
Stunting,Rubrobacter,53,0.00289,0.02102
Stunting,Ruminococcus,53,0,0
Stunting,SD04E11,53,0.00263,0.01677
Stunting,Sarcina,53,0.02134,0.15537
Stunting,Scardovia,53,0,0
Stunting,Selenomonadaceae Family,53,4.4e-4,0.00317
Stunting,Selenomonas,53,4.4e-4,0.00258
Stunting,Simonsiella,53,3.1e-4,0.00228
Stunting,Sneathia,53,0,0
Stunting,Solirubrobacter,53,0.0018600000000000001,0.01356
Stunting,Solobacterium,53,0.0105,0.02586
Stunting,Sphingobium,53,0.00167,0.00909
Stunting,Sphingomonadaceae Family,53,6.8e-4,0.00374
Stunting,Sphingomonas,53,0.00206,0.01107
Stunting,Sphingopyxis,53,0.01701,0.07023
Stunting,Staphylococcus,53,0.01594,0.06194
Stunting,Stenotrophomonas,53,0.01713,0.10967
Stunting,Stomatobaculum,53,0.03507,0.0677
Stunting,Streptobacillus,53,0.13155,0.31796
Stunting,Streptococcus,53,65.68833,18.80238
Stunting,Streptomycetaceae Family,53,2.5e-4,0.00178
Stunting,Subdoligranulum,53,0,0
Stunting,Subgroup 10,53,5.5e-4,0.00317
Stunting,Suttonella,53,0.002,0.01078
Stunting,TM7x,53,0.00529,0.01432
Stunting,Tannerella,53,0.00814,0.04855
Stunting,Tannerellaceae Family,53,0.02029,0.14773
Stunting,Tepidimonas,53,0,0
Stunting,Terrimonas,53,0,0
Stunting,Thermicanus,53,0.00166,0.01208
Stunting,Thermomonas,53,0.00093000000000000005,0.00579
Stunting,Treponema,53,0.00238,0.01036
Stunting,Trichococcus,53,0.03225,0.21619
Stunting,Tropheryma,53,0.0044,0.02447
Stunting,Tyzzerella,53,0.00255,0.01302
Stunting,UBA1819,53,0.00457,0.0322
Stunting,UCG-005,53,0,0
Stunting,Ureaplasma,53,0.01071,0.04689
Stunting,Vagococcus,53,4e-4,0.0029
Stunting,Veillonella,53,0.54197,0.56325
Stunting,Vibrionimonas,53,0.00319,0.01657
Stunting,Vulcaniibacterium,53,0,0
Stunting,Weissella,53,0.00113,0.00824
Stunting,Xanthobacteraceae Family,53,0.13371,0.56242
Stunting,Xanthomonas,53,2.9e-4,0.00214
Stunting,[Eubacterium] brachy group,53,0.00973,0.03623
Stunting,[Eubacterium] coprostanoligenes group Family,53,0,0
Stunting,[Eubacterium] hallii group,53,7.7e-4,0.00561
Stunting,[Eubacterium] nodatum group,53,0.11488,0.17076
Stunting,[Eubacterium] yurii group,53,0.00207,0.00635
Stunting,[Ruminococcus] gnavus group,53,6.6e-4,0.00483
Stunting,[Ruminococcus] torques group,53,9.2e-4,0.00471
