"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance","prevalence"
"25","studyBEECH children","Haemophilus","Genus","`Haemophilus`~study",-6.3920381525579,0.84799527238078,-7.53782286381386,8.74076663795006e-12,1.75511478294361e-09,0.0413820242307318,0.921875
"26","studyBEED","Haemophilus","Genus","`Haemophilus`~study",-1.04857325762422,1.12144736492669,-0.935017808609122,0.351596428331712,1,0.0413820242307318,0.921875
"27","studySEEM","Haemophilus","Genus","`Haemophilus`~study",-4.07479489501754,0.964138526694825,-4.22635833150076,4.56483645671021e-05,0.00305534296122527,0.0413820242307318,0.921875
"28","studyBEECH children","Fusobacterium","Genus","`Fusobacterium`~study",-4.47953370756412,0.835748417069171,-5.35990690030033,3.91240405037853e-07,4.20572017220199e-05,0.0107012094052059,0.890625
"29","studyBEED","Fusobacterium","Genus","`Fusobacterium`~study",-1.46194046196494,1.10525127980078,-1.32272225210945,0.188362013517159,1,0.0107012094052059,0.890625
"30","studySEEM","Fusobacterium","Genus","`Fusobacterium`~study",-6.64939255786179,0.950214315768944,-6.99778191878838,1.43933595721493e-10,2.28622642699023e-08,0.0107012094052059,0.890625
"31","studyBEECH children","Actinobacillus","Genus","`Actinobacillus`~study",-7.98148505472557,1.1356267803795,-7.02826420847377,1.2314171605544e-10,2.04765645950709e-08,0.00668869600921712,0.53125
"32","studyBEED","Actinobacillus","Genus","`Actinobacillus`~study",-3.47496953286618,1.50183108547438,-2.31382181822967,0.0223234108541691,0.647330926885227,0.00668869600921712,0.53125
"33","studySEEM","Actinobacillus","Genus","`Actinobacillus`~study",-4.02147516771652,1.29116466396835,-3.11461061469622,0.0022881759169687,0.0957120360712557,0.00668869600921712,0.53125
"34","studyBEECH children","Lactococcus","Genus","`Lactococcus`~study",2.21347421548166,0.799028749331339,2.77020597485884,0.00646417447526795,0.227039964273545,0.0038958384473281,0.125
"35","studyBEED","Lactococcus","Genus","`Lactococcus`~study",-0.385893581550854,1.05669066163842,-0.365190680262585,0.715591226545828,1,0.0038958384473281,0.125
"36","studySEEM","Lactococcus","Genus","`Lactococcus`~study",-0.0921220858078996,0.908465443450256,-0.101404061620693,0.919393498978504,1,0.0038958384473281,0.125
"37","studyBEECH children","Helicobacter","Genus","`Helicobacter`~study",-2.71150150147619,1.00475963937916,-2.69865686797651,0.00793288556722929,0.274994927100884,0.00203829792657185,0.2890625
"38","studyBEED","Helicobacter","Genus","`Helicobacter`~study",-3.71758821492007,1.32876336303498,-2.79778049150065,0.00596761554553622,0.212403425534361,0.00203829792657185,0.2890625
"39","studySEEM","Helicobacter","Genus","`Helicobacter`~study",-4.48029696279001,1.14237367818539,-3.92191893803678,0.000144550669086262,0.00822641032662304,0.00203829792657185,0.2890625
"40","studyBEECH children","Ralstonia","Genus","`Ralstonia`~study",6.54051880132863,0.846315793504911,7.72822491500707,3.19975246087621e-12,6.94947776902158e-10,0.00226331358202633,0.3125
"41","studyBEED","Ralstonia","Genus","`Ralstonia`~study",0.349259182645191,1.11922630636523,0.312054122261864,0.75552350211805,1,0.00226331358202633,0.3125
"42","studySEEM","Ralstonia","Genus","`Ralstonia`~study",1.08799390183904,0.962229022783973,1.13070160645457,0.260362924552715,1,0.00226331358202633,0.3125
"43","studyBEECH children","Burkholderia-Caballeronia-Paraburkholderia","Genus","`Burkholderia-Caballeronia-Paraburkholderia`~study",7.03832293916411,0.81189169017791,8.66904172602357,2.00963232275339e-14,6.1105518162116e-12,0.00274966701706068,0.5703125
"44","studyBEED","Burkholderia-Caballeronia-Paraburkholderia","Genus","`Burkholderia-Caballeronia-Paraburkholderia`~study",0.868097289810359,1.07370150071668,0.808508965695698,0.420346121836476,1,0.00274966701706068,0.5703125
"45","studySEEM","Burkholderia-Caballeronia-Paraburkholderia","Genus","`Burkholderia-Caballeronia-Paraburkholderia`~study",7.77093476295933,0.923090120309548,8.41839230210094,7.87420120149238e-14,1.87642475621719e-11,0.00274966701706068,0.5703125
"46","studyBEECH children","Abiotrophia","Genus","`Abiotrophia`~study",0.84862132787217,0.819850964519806,1.03509218699183,0.302640294060454,1,0.00458306445366932,0.890625
"47","studyBEED","Abiotrophia","Genus","`Abiotrophia`~study",-2.67843527966266,1.08422739340519,-2.4703630400359,0.0148565808709073,0.471960804307398,0.00458306445366932,0.890625
"48","studySEEM","Abiotrophia","Genus","`Abiotrophia`~study",0.304124670747101,0.932139513964787,0.326265184761377,0.744773730004782,1,0.00458306445366932,0.890625
"49","studyBEECH children","Lachnoanaerobaculum","Genus","`Lachnoanaerobaculum`~study",1.42397121266661,0.861314718886425,1.65325308095005,0.10080898198914,1,0.0042198598064679,0.8828125
"50","studyBEED","Lachnoanaerobaculum","Genus","`Lachnoanaerobaculum`~study",0.262794338997442,1.13906191853629,0.230711197276384,0.817919390882662,1,0.0042198598064679,0.8828125
"51","studySEEM","Lachnoanaerobaculum","Genus","`Lachnoanaerobaculum`~study",-1.3438290264437,0.979282233209001,-1.37225917194487,0.172460026006316,1,0.0042198598064679,0.8828125
"52","studyBEECH children","Klebsiella","Genus","`Klebsiella`~study",-1.53301547817369,0.459996469664883,-3.33266792088757,0.00113418131078515,0.0500838045800532,6.23549427203711e-05,0.0703125
"53","studyBEED","Klebsiella","Genus","`Klebsiella`~study",-0.699659907635192,0.608331019739012,-1.15013024970412,0.252303506436778,1,6.23549427203711e-05,0.0703125
"54","studySEEM","Klebsiella","Genus","`Klebsiella`~study",-1.14398638630111,0.522998574393435,-2.18736042947704,0.0305919503912009,0.813914982951977,6.23549427203711e-05,0.0703125
"55","studyBEECH children","Prevotella","Genus","`Prevotella`~study",-9.69854025597447,0.962621121496352,-10.0751376002414,8.31046257986497e-18,3.84529116889312e-15,0.0121002707175293,0.6796875
"56","studyBEED","Prevotella","Genus","`Prevotella`~study",-5.32082164959655,1.27303648414694,-4.17963013303741,5.46864159529529e-05,0.00359249618127534,0.0121002707175293,0.6796875
"57","studySEEM","Prevotella","Genus","`Prevotella`~study",-10.0966943982505,1.09446377836416,-9.22524308053536,9.4234019666666e-16,3.34286109165724e-13,0.0121002707175293,0.6796875
"58","studyBEECH children","Rothia","Genus","`Rothia`~study",-0.647382958186973,0.529243006990738,-1.2232243971781,0.223564491762207,1,0.013230491076075,0.984375
"59","studyBEED","Rothia","Genus","`Rothia`~study",0.686992029808622,0.699907410956801,0.9815470147251,0.328234287958125,1,0.013230491076075,0.984375
"60","studySEEM","Rothia","Genus","`Rothia`~study",0.259497145960241,0.601729266238719,0.431252326452895,0.667033712133831,1,0.013230491076075,0.984375
"61","studyBEECH children","Veillonella","Genus","`Veillonella`~study",-4.62545809458578,0.637308963313695,-7.25779545063302,3.77192791934762e-11,7.04239527504016e-09,0.0175668782979259,0.953125
"62","studyBEED","Veillonella","Genus","`Veillonella`~study",-3.27410299679806,0.84282127604996,-3.88469428790734,0.000165763959974145,0.00933383624470073,0.0175668782979259,0.953125
"63","studySEEM","Veillonella","Genus","`Veillonella`~study",-6.15088288257696,0.724596168105476,-8.48870467899245,5.37336925897429e-14,1.4296132456042e-11,0.0175668782979259,0.953125
"64","studyBEECH children","Mogibacterium","Genus","`Mogibacterium`~study",-1.14003781860669,0.875671769063686,-1.30190084787783,0.195363586480579,1,0.000330731409847818,0.453125
"65","studyBEED","Mogibacterium","Genus","`Mogibacterium`~study",-4.41933263716162,1.15804867071971,-3.81618903324251,0.000212774735187032,0.0116721321790878,0.000330731409847818,0.453125
"66","studySEEM","Mogibacterium","Genus","`Mogibacterium`~study",-3.35798456660225,0.995605655822816,-3.37280583628972,0.000993093364792676,0.0444063411880834,0.000330731409847818,0.453125
"67","studyBEECH children","Porphyromonas","Genus","`Porphyromonas`~study",-8.43864103564072,0.988590799940673,-8.53603031319646,4.15295116983313e-14,1.13324571597187e-11,0.012992197440851,0.765625
"68","studyBEED","Porphyromonas","Genus","`Porphyromonas`~study",-3.55487433806082,1.3073805759219,-2.71908150046829,0.0074854570472392,0.26033272506669,0.012992197440851,0.765625
"69","studySEEM","Porphyromonas","Genus","`Porphyromonas`~study",-7.77694544042076,1.12399031976073,-6.91905019437916,2.15092163571774e-10,3.3174727605199e-08,0.012992197440851,0.765625
"70","studyBEECH children","Oribacterium","Genus","`Oribacterium`~study",-2.09518636955012,1.0135576610804,-2.06716050798407,0.0407996951969712,0.977925603552719,0.0012642274337386,0.6796875
"71","studyBEED","Oribacterium","Genus","`Oribacterium`~study",-3.15722152888574,1.34039847301115,-2.35543503850252,0.0200702017314728,0.590031279261865,0.0012642274337386,0.6796875
"72","studySEEM","Oribacterium","Genus","`Oribacterium`~study",-3.50750675728208,1.15237669584025,-3.04371545341309,0.00285370329724787,0.11391420376142,0.0012642274337386,0.6796875
"73","studyBEECH children","Pseudomonas","Genus","`Pseudomonas`~study",8.11055465891658,0.78835808372522,10.287907013767,2.52595863475045e-18,1.22189931596673e-15,0.0183436428524646,0.7890625
"74","studyBEED","Pseudomonas","Genus","`Pseudomonas`~study",-0.166436627082528,1.04257903835967,-0.159639337603017,0.873424932105326,1,0.0183436428524646,0.7890625
"75","studySEEM","Pseudomonas","Genus","`Pseudomonas`~study",7.58368786882084,0.89633330055817,8.46079004774037,6.25423626755114e-14,1.54788145246958e-11,0.0183436428524646,0.7890625
"76","studyBEECH children","Bergeyella","Genus","`Bergeyella`~study",-6.86438529571984,0.972479615690288,-7.05864183163093,1.05381808106311e-10,1.78015150009966e-08,0.00357018962804701,0.65625
"77","studyBEED","Bergeyella","Genus","`Bergeyella`~study",-0.713507788235566,1.28607403600132,-0.554795267039224,0.580034059876419,1,0.00357018962804701,0.65625
"78","studySEEM","Bergeyella","Genus","`Bergeyella`~study",-3.68005858030847,1.1056725131026,-3.32834409528906,0.00115045120228186,0.0505923327406058,0.00357018962804701,0.65625
"79","studyBEECH children","Parvimonas","Genus","`Parvimonas`~study",-3.25380668266406,0.964025789482437,-3.37522783950723,0.000985129228106626,0.0442360893634648,0.00077622265521824,0.578125
"80","studyBEED","Parvimonas","Genus","`Parvimonas`~study",-2.31589963561277,1.27489411385656,-1.816542731229,0.0717025714913909,1,0.00077622265521824,0.578125
"81","studySEEM","Parvimonas","Genus","`Parvimonas`~study",-4.3051125267658,1.09606083269537,-3.92780436846641,0.000141443261692624,0.00809284433175994,0.00077622265521824,0.578125
"82","studyBEECH children","Leuconostoc","Genus","`Leuconostoc`~study",1.8644428351737,0.628663137129637,2.96572635654511,0.00362323915856035,0.138205289933087,0.00401966909674828,0.078125
"83","studyBEED","Leuconostoc","Genus","`Leuconostoc`~study",1.38648732246e-17,0.83138743991016,1.6676789375238e-17,1,1,0.00401966909674828,0.078125
"84","studySEEM","Leuconostoc","Genus","`Leuconostoc`~study",1.36577836373335e-14,0.714766190992803,1.91080437343616e-14,0.999999999999985,1,0.00401966909674828,0.078125
"85","studyBEECH children","Dolosigranulum","Genus","`Dolosigranulum`~study",2.96572185374516,1.00350574667666,2.95536110636819,0.00373880382875174,0.141322866476347,0.00261996878680707,0.75
"86","studyBEED","Dolosigranulum","Genus","`Dolosigranulum`~study",0.352352184679395,1.32710512894698,0.265504350027625,0.791061859530171,1,0.00261996878680707,0.75
"87","studySEEM","Dolosigranulum","Genus","`Dolosigranulum`~study",1.40243499648052,1.14094804964452,1.2291839202648,0.221330275417133,1,0.00261996878680707,0.75
"88","studyBEECH children","Escherichia-Shigella","Genus","`Escherichia-Shigella`~study",-4.02704016887859,0.856327401760618,-4.70268750083082,6.726789918877e-06,0.000546472657684384,0.000951884025160793,0.328125
"89","studyBEED","Escherichia-Shigella","Genus","`Escherichia-Shigella`~study",-5.1179695193839,1.13246634680263,-4.51931267876863,1.42785094628417e-05,0.00107010501058733,0.000951884025160793,0.328125
"90","studySEEM","Escherichia-Shigella","Genus","`Escherichia-Shigella`~study",-3.13542043448483,0.973611842415034,-3.22040088040368,0.00163471778043234,0.0701492405775506,0.000951884025160793,0.328125
"91","studyBEECH children","Bifidobacterium","Genus","`Bifidobacterium`~study",-0.745097753885796,0.805635497809879,-0.924857154273048,0.356836571747089,1,0.000443439506608898,0.234375
"92","studyBEED","Bifidobacterium","Genus","`Bifidobacterium`~study",0.209045398485918,1.06542788095238,0.196207929436814,0.844768615005792,1,0.000443439506608898,0.234375
"93","studySEEM","Bifidobacterium","Genus","`Bifidobacterium`~study",0.486506169883868,0.915977066394167,0.531133570624259,0.596276314110468,1,0.000443439506608898,0.234375
"94","studyBEECH children","Aggregatibacter","Genus","`Aggregatibacter`~study",-9.23411110118015,0.804772708070951,-11.4741852060496,3.25572207444027e-21,2.03812244172926e-18,0.0014468106620773,0.40625
"95","studyBEED","Aggregatibacter","Genus","`Aggregatibacter`~study",-5.2418170469373,1.06428686836573,-4.92519188457752,2.63276590562252e-06,0.000239473935657777,0.0014468106620773,0.40625
"96","studySEEM","Aggregatibacter","Genus","`Aggregatibacter`~study",-7.81115148707793,0.914996107119002,-8.53681390150662,4.1352615917494e-14,1.13324571597187e-11,0.0014468106620773,0.40625
"97","studyBEECH children","Lactobacillus","Genus","`Lactobacillus`~study",0.20118337797761,0.782693643514323,0.257039749389415,0.797574111035659,1,0.00231559822166615,0.1875
"98","studyBEED","Lactobacillus","Genus","`Lactobacillus`~study",4.43122057424846,1.03508799241261,4.28100857775392,3.68928231704549e-05,0.00250077204610322,0.00231559822166615,0.1875
"99","studySEEM","Lactobacillus","Genus","`Lactobacillus`~study",1.62885326069033,0.889893046446667,1.83039216588366,0.0695927423500111,1,0.00231559822166615,0.1875
"100","studyBEECH children","Leptotrichia","Genus","`Leptotrichia`~study",-4.36450635407317,0.736445870780611,-5.92644555050179,2.85588647005652e-08,3.33988424321634e-06,0.0173806757523679,0.953125
"101","studyBEED","Leptotrichia","Genus","`Leptotrichia`~study",-0.961329571226622,0.973926751831233,-0.98706557697391,0.325532613767137,1,0.0173806757523679,0.953125
"102","studySEEM","Leptotrichia","Genus","`Leptotrichia`~study",-4.0864260430855,0.837311079401955,-4.88041558700526,3.18654661436889e-06,0.000277966407067907,0.0173806757523679,0.953125
"103","studyBEECH children","Staphylococcus","Genus","`Staphylococcus`~study",-1.13858346261423,0.87597487543536,-1.29979009049587,0.196084010056775,1,0.000481346038352563,0.328125
"104","studyBEED","Staphylococcus","Genus","`Staphylococcus`~study",2.27114514626648,1.15844951946602,1.96050419815735,0.0521790827068747,1,0.000481346038352563,0.328125
"105","studySEEM","Staphylococcus","Genus","`Staphylococcus`~study",1.70023899293359,0.995950276294339,1.70715248883681,0.0902965153777122,1,0.000481346038352563,0.328125
"106","studyBEECH children","Methylobacterium-Methylorubrum","Genus","`Methylobacterium-Methylorubrum`~study",1.00513611999805,0.808453253549459,1.24328291782496,0.216109165235436,1,0.00293951310962026,0.21875
"107","studyBEED","Methylobacterium-Methylorubrum","Genus","`Methylobacterium-Methylorubrum`~study",-0.882645495004434,1.06915427525206,-0.825554847822447,0.41064212870142,1,0.00293951310962026,0.21875
"108","studySEEM","Methylobacterium-Methylorubrum","Genus","`Methylobacterium-Methylorubrum`~study",2.30510092974097,0.919180748013425,2.50777764299662,0.0134413045772131,0.429565166365356,0.00293951310962026,0.21875
"109","studyBEECH children","Filifactor","Genus","`Filifactor`~study",-3.2014849465307,0.707145589637328,-4.52733495541228,1.38215025474477e-05,0.00104320104573201,0.000166942176549534,0.234375
"110","studyBEED","Filifactor","Genus","`Filifactor`~study",-1.69439926495893,0.935178041608482,-1.811846717492,0.0724298979791819,1,0.000166942176549534,0.234375
"111","studySEEM","Filifactor","Genus","`Filifactor`~study",-4.16423223783454,0.803997768805403,-5.17940770410575,8.73339471041123e-07,8.60579906362334e-05,0.000166942176549534,0.234375
"112","studyBEECH children","Moraxella","Genus","`Moraxella`~study",-7.42514370545181,1.09869882142273,-6.75812475691639,4.86069838765151e-10,7.08610660285737e-08,0.0166199923631863,0.6875
"113","studyBEED","Moraxella","Genus","`Moraxella`~study",-3.46208350747242,1.45299500865531,-2.38272223018607,0.0187040478975238,0.55292340454024,0.0166199923631863,0.6875
"114","studySEEM","Moraxella","Genus","`Moraxella`~study",-6.24028095299123,1.24917897241789,-4.99550592091111,1.946697081853e-06,0.000181729484554243,0.0166199923631863,0.6875
"115","studyBEECH children","Corynebacterium","Genus","`Corynebacterium`~study",2.06498552336982,0.776202660821135,2.6603690345319,0.00883746740263789,0.300479851260976,0.00411875519774451,0.90625
"116","studyBEED","Corynebacterium","Genus","`Corynebacterium`~study",1.06878282491718,1.02650386974808,1.04118733149976,0.299814415171889,1,0.00411875519774451,0.90625
"117","studySEEM","Corynebacterium","Genus","`Corynebacterium`~study",2.70055964444337,0.88251304481878,3.06007900993455,0.00271274758182293,0.109770465216777,0.00411875519774451,0.90625
"118","studyBEECH children","[Eubacterium] nodatum group","Genus","`[Eubacterium] nodatum group`~study",-1.50303904996144,0.983554903531509,-1.52816995224639,0.129017256416427,1,0.000761850844037256,0.3671875
"119","studyBEED","[Eubacterium] nodatum group","Genus","`[Eubacterium] nodatum group`~study",-5.93141189535031,1.3007207595974,-4.56009627860956,1.2097497426321e-05,0.000919600864708673,0.000761850844037256,0.3671875
"120","studySEEM","[Eubacterium] nodatum group","Genus","`[Eubacterium] nodatum group`~study",-4.58150505625108,1.11826469616039,-4.09697728273268,7.50286969144259e-05,0.0047528049348422,0.000761850844037256,0.3671875
"121","studyBEECH children","Ligilactobacillus","Genus","`Ligilactobacillus`~study",-0.380815713667019,0.610179018959529,-0.62410489681599,0.533705214631634,1,0.000471437783864159,0.1484375
"122","studyBEED","Ligilactobacillus","Genus","`Ligilactobacillus`~study",2.06546924634733,0.806942768707379,2.55962297010971,0.0116795823902393,0.376656306166323,0.000471437783864159,0.1484375
"123","studySEEM","Ligilactobacillus","Genus","`Ligilactobacillus`~study",1.93876071336641,0.693750448287367,2.79460823146501,0.00602291554035269,0.213189557744039,0.000471437783864159,0.1484375
"124","studyBEECH children","Campylobacter","Genus","`Campylobacter`~study",-7.74180236466021,0.84270006809932,-9.18690131605373,1.16493355033372e-15,3.9991834606513e-13,0.00135024747652578,0.5390625
"125","studyBEED","Campylobacter","Genus","`Campylobacter`~study",-3.84851685357663,1.11444462200865,-3.45330470224725,0.00075826387546104,0.0350852357011442,0.00135024747652578,0.5390625
"126","studySEEM","Campylobacter","Genus","`Campylobacter`~study",-6.88856281830787,0.958118079858911,-7.18968044035058,5.36665106495428e-11,9.84707472161746e-09,0.00135024747652578,0.5390625
"127","studyBEECH children","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Genus","`Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium`~study",1.88069368578824,0.891919057113988,2.10859233333758,0.0369920141892219,0.9155274953405,0.0031844464183643,0.3203125
"128","studyBEED","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Genus","`Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium`~study",5.75741741745069,1.17953520368122,4.88108994075151,3.17742310445253e-06,0.000277966407067907,0.0031844464183643,0.3203125
"129","studySEEM","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Genus","`Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium`~study",0.999603355649395,1.0140782073497,0.985726099234368,0.326187021082936,1,0.0031844464183643,0.3203125
"130","studyBEECH children","[Eubacterium] brachy group","Genus","`[Eubacterium] brachy group`~study",-3.61800155893881,0.670883571200657,-5.39289038254999,3.37275241775859e-07,3.70036527060526e-05,0.000143533797830903,0.2890625
"131","studyBEED","[Eubacterium] brachy group","Genus","`[Eubacterium] brachy group`~study",-3.87732434577802,0.887222650408533,-4.37018187485706,2.59639026378024e-05,0.00183714118443134,0.000143533797830903,0.2890625
"132","studySEEM","[Eubacterium] brachy group","Genus","`[Eubacterium] brachy group`~study",-3.40418710559382,0.762769226419362,-4.46293189038834,1.79274928488245e-05,0.00130676823901958,0.000143533797830903,0.2890625
"133","studyBEECH children","Solobacterium","Genus","`Solobacterium`~study",-6.25635010655901,0.731405277964909,-8.55387607260222,3.76813911745664e-14,1.08381977941334e-11,0.000475708885530996,0.4140625
"134","studyBEED","Solobacterium","Genus","`Solobacterium`~study",-6.9005990967111,0.967260724655201,-7.13416653940017,7.14677314336941e-11,1.26762447130978e-08,0.000475708885530996,0.4140625
"135","studySEEM","Solobacterium","Genus","`Solobacterium`~study",-5.82912196523193,0.831580116165149,-7.00969377684626,1.35424736167151e-10,2.18366458593998e-08,0.000475708885530996,0.4140625
"136","studyBEECH children","Lautropia","Genus","`Lautropia`~study",-5.38665739628318,0.959184450136765,-5.61587231268722,1.22036282668031e-07,1.38163391345661e-05,0.00112099138271896,0.5703125
"137","studyBEED","Lautropia","Genus","`Lautropia`~study",-1.99947352630188,1.26849159319548,-1.57626076280488,0.117513598573225,1,0.00112099138271896,0.5703125
"138","studySEEM","Lautropia","Genus","`Lautropia`~study",-4.14285349088342,1.09055641311192,-3.79884382052436,0.000226550046008088,0.0123009867759652,0.00112099138271896,0.5703125
"139","studyBEECH children","Peptococcus","Genus","`Peptococcus`~study",-2.6763014182546,0.799281636402782,-3.34838346881015,0.00107684160800714,0.0479496890543863,0.000275091243793244,0.3515625
"140","studyBEED","Peptococcus","Genus","`Peptococcus`~study",-1.03763451086904,1.05702509692259,-0.981655510252313,0.328181031296531,1,0.000275091243793244,0.3515625
"141","studySEEM","Peptococcus","Genus","`Peptococcus`~study",-4.44311915793402,0.908752966478299,-4.889248587713,3.06903207844472e-06,0.000272177393057497,0.000275091243793244,0.3515625
"142","studyBEECH children","Streptobacillus","Genus","`Streptobacillus`~study",-7.15078269692462,1.00058293467638,-7.14661668623944,6.70256634237924e-11,1.20898518207857e-08,0.00682290115337143,0.71875
"143","studyBEED","Streptobacillus","Genus","`Streptobacillus`~study",-0.449650122366579,1.32323980101103,-0.339810004220718,0.734574516650735,1,0.00682290115337143,0.71875
"144","studySEEM","Streptobacillus","Genus","`Streptobacillus`~study",-5.20487515809353,1.13762492303339,-4.57521196372449,1.13739280641915e-05,0.000877128573781751,0.00682290115337143,0.71875
"145","studyBEECH children","Atopobium","Genus","`Atopobium`~study",1.13728527375782,0.904334458837712,1.25759365093697,0.210902018794293,1,0.00282172932078567,0.8359375
"146","studyBEED","Atopobium","Genus","`Atopobium`~study",-2.9423730840303,1.19595418619334,-2.4602724067514,0.0152603655099029,0.481911070620113,0.00282172932078567,0.8359375
"147","studySEEM","Atopobium","Genus","`Atopobium`~study",-1.10434911302584,1.02819404916639,-1.07406682028669,0.284878368826316,1,0.00282172932078567,0.8359375
"148","studyBEECH children","Enterococcus","Genus","`Enterococcus`~study",0.321692121342919,0.75313775210039,0.427135833313052,0.670021149431262,1,0.00117889519064904,0.109375
"149","studyBEED","Enterococcus","Genus","`Enterococcus`~study",-0.36605408828691,0.996001245559461,-0.367523725415921,0.713854931991582,1,0.00117889519064904,0.109375
"150","studySEEM","Enterococcus","Genus","`Enterococcus`~study",0.570321531006111,0.856289116647652,0.666038514233258,0.506623669332665,1,0.00117889519064904,0.109375
"151","studyBEECH children","Ureaplasma","Genus","`Ureaplasma`~study",0.533707817448903,0.669166618887518,0.797570892487414,0.426644208591759,1,0.000179888076473099,0.1640625
"152","studyBEED","Ureaplasma","Genus","`Ureaplasma`~study",2.60827077713521,0.884952034392163,2.94735836041862,0.00383033763741447,0.14302898812659,0.000179888076473099,0.1640625
"153","studySEEM","Ureaplasma","Genus","`Ureaplasma`~study",0.489775057416881,0.760817116628765,0.643748736341671,0.520927248622088,1,0.000179888076473099,0.1640625
